iter	Passed	Remaining
0	98	98391
1	193	96653
2	293	97581
3	389	96884
4	484	96477
5	581	96364
6	680	96602
7	788	97785
8	886	97645
9	984	97463
10	1084	97487
11	1181	97289
12	1280	97241
13	1375	96883
14	1473	96764
15	1574	96830
16	1672	96734
17	1772	96711
18	1863	96221
19	1960	96067
20	2057	95910
21	2154	95793
22	2254	95772
23	2355	95780
24	2448	95480
25	2543	95289
26	2644	95283
27	2743	95247
28	2840	95123
29	2939	95029
30	3036	94926
31	3138	94946
32	3240	94943
33	3341	94926
34	3441	94883
35	3542	94864
36	3640	94758
37	3738	94651
38	3839	94600
39	3936	94480
40	4033	94351
41	4131	94235
42	4225	94034
43	4318	93839
44	4414	93693
45	4513	93614
46	4610	93487
47	4707	93374
48	4801	93195
49	4899	93099
50	4996	92966
51	5092	92836
52	5185	92646
53	5280	92513
54	5379	92423
55	5472	92249
56	5565	92080
57	5661	91955
58	5759	91854
59	5855	91733
60	5952	91622
61	6048	91511
62	6143	91372
63	6239	91259
64	6337	91158
65	6432	91029
66	6528	90914
67	6630	90873
68	6725	90748
69	6823	90658
70	6921	90564
71	7018	90465
72	7114	90347
73	7208	90198
74	7308	90139
75	7404	90026
76	7508	89999
77	7599	89835
78	7696	89728
79	7792	89608
80	7889	89513
81	7985	89394
82	8082	89297
83	8177	89177
84	8276	89094
85	8377	89032
86	8476	88956
87	8574	88858
88	8668	88734
89	8762	88602
90	8857	88479
91	8953	88364
92	9046	88224
93	9141	88104
94	9237	87998
95	9332	87880
96	9427	87759
97	9519	87615
98	9614	87502
99	9711	87400
100	9807	87298
101	9901	87175
102	9996	87052
103	10091	86938
104	10186	86831
105	10282	86723
106	10378	86619
107	10475	86520
108	10574	86437
109	10666	86301
110	10763	86201
111	10860	86106
112	10954	85990
113	11048	85869
114	11144	85762
115	11240	85662
116	11341	85592
117	11437	85491
118	11535	85400
119	11630	85292
120	11731	85222
121	11824	85100
122	11924	85021
123	12018	84906
124	12110	84776
125	12206	84669
126	12301	84560
127	12395	84444
128	12489	84328
129	12584	84216
130	12678	84105
131	12781	84049
132	12876	83938
133	12973	83842
134	13066	83725
135	13164	83631
136	13257	83513
137	13353	83410
138	13446	83292
139	13541	83183
140	13638	83088
141	13735	82992
142	13833	82905
143	13934	82830
144	14028	82717
145	14123	82614
146	14217	82501
147	14310	82383
148	14409	82296
149	14502	82180
150	14595	82061
151	14692	81969
152	14785	81854
153	14877	81728
154	14978	81657
155	15069	81531
156	15165	81428
157	15259	81320
158	15356	81224
159	15450	81114
160	15547	81020
161	15641	80913
162	15736	80805
163	15828	80686
164	15923	80583
165	16015	80465
166	16111	80364
167	16202	80240
168	16293	80119
169	16387	80010
170	16482	79905
171	16576	79800
172	16672	79702
173	16779	79655
174	16875	79556
175	16972	79463
176	17064	79346
177	17163	79260
178	17267	79199
179	17360	79087
180	17455	78983
181	17551	78886
182	17658	78834
183	17756	78744
184	17848	78631
185	17943	78525
186	18038	78425
187	18135	78328
188	18230	78226
189	18327	78132
190	18434	78080
191	18532	77989
192	18627	77887
193	18722	77783
194	18825	77716
195	18920	77614
196	19013	77503
197	19108	77399
198	19210	77323
199	19304	77219
200	19399	77115
201	19496	77019
202	19591	76916
203	19690	76830
204	19785	76727
205	19878	76620
206	19975	76525
207	20073	76434
208	20166	76324
209	20263	76228
210	20359	76132
211	20453	76025
212	20550	75932
213	20645	75827
214	20742	75734
215	20843	75654
216	20936	75543
217	21033	75450
218	21125	75337
219	21220	75236
220	21314	75130
221	21405	75014
222	21497	74902
223	21592	74804
224	21687	74701
225	21782	74600
226	21879	74507
227	21975	74407
228	22074	74320
229	22168	74215
230	22267	74129
231	22361	74023
232	22454	73917
233	22551	73822
234	22645	73718
235	22739	73612
236	22833	73511
237	22924	73397
238	23019	73297
239	23118	73207
240	23212	73105
241	23309	73012
242	23406	72915
243	23500	72812
244	23595	72712
245	23689	72609
246	23786	72516
247	23878	72406
248	23978	72321
249	24074	72223
250	24170	72127
251	24271	72044
252	24367	71945
253	24465	71854
254	24556	71744
255	24648	71634
256	24744	71537
257	24834	71424
258	24930	71326
259	25024	71222
260	25120	71126
261	25212	71017
262	25308	70922
263	25405	70826
264	25499	70724
265	25594	70624
266	25689	70526
267	25786	70431
268	25877	70322
269	25969	70214
270	26062	70107
271	26156	70007
272	26252	69910
273	26362	69851
274	26456	69747
275	26551	69650
276	26646	69550
277	26735	69435
278	26829	69333
279	26925	69236
280	27020	69138
281	27117	69042
282	27212	68944
283	27310	68853
284	27407	68757
285	27500	68653
286	27594	68553
287	27686	68446
288	27777	68339
289	27872	68239
290	27968	68142
291	28059	68035
292	28156	67941
293	28253	67847
294	28350	67752
295	28443	67649
296	28537	67549
297	28628	67441
298	28722	67338
299	28818	67244
300	28915	67148
301	29023	67079
302	29131	67011
303	29224	66908
304	29320	66813
305	29416	66715
306	29518	66632
307	29616	66539
308	29711	66441
309	29808	66348
310	29907	66257
311	30001	66158
312	30093	66051
313	30187	65950
314	30283	65854
315	30379	65757
316	30473	65657
317	30566	65553
318	30663	65459
319	30760	65365
320	30855	65268
321	30948	65164
322	31043	65065
323	31137	64966
324	31232	64868
325	31339	64793
